Date,MaxTemperature,MinTemperature,Rainfall,MaxWindSpeed
2025-01-01,16.8,7.7,0.0,9.4
2025-01-02,18.2,8.5,0.0,10.1
2025-01-03,19.6,8.6,0.0,6.1
2025-01-04,21.1,8.4,0.0,7.3
2025-01-05,18.1,9.2,0.0,9.1
2025-01-06,18.0,8.8,4.9,9.3
2025-01-07,17.5,10.2,0.0,13.8
2025-01-08,18.4,8.7,0.0,11.1
2025-01-09,18.7,8.0,0.0,4.9
2025-01-10,17.9,7.9,0.0,6.4
2025-01-11,16.8,8.0,3.9,14.1
2025-01-12,18.0,9.8,0.1,6.2
2025-01-13,19.0,9.2,0.0,8.6
2025-01-14,18.2,8.7,0.0,8.1
2025-01-15,18.4,9.1,2.9,6.3
2025-01-16,18.0,11.1,0.7,6.2
2025-01-17,18.9,9.2,0.0,9.3
2025-01-18,17.8,7.8,0.0,8.6
2025-01-19,21.3,8.9,0.0,5.5
2025-01-20,21.9,11.7,0.0,10.2
2025-01-21,21.9,11.1,0.0,10.0
2025-01-22,22.8,10.4,0.0,6.6
2025-01-23,21.9,11.7,1.6,11.1
2025-01-24,20.9,10.4,0.0,12.9
2025-01-25,20.8,9.0,0.0,11.6
2025-01-26,21.0,8.2,0.0,10.1
2025-01-27,21.5,7.8,0.0,9.5
2025-01-28,22.9,8.0,0.0,8.3
2025-01-29,24.0,10.2,0.0,9.7
2025-01-30,24.8,11.3,0.0,7.6
2025-01-31,26.3,12.1,0.0,8.1
2025-02-01,25.5,12.7,0.0,15.6
2025-02-02,23.6,13.7,0.0,11.3
2025-02-03,22.8,10.8,1.7,6.5
2025-02-04,22.9,13.0,0.7,8.9
2025-02-05,21.4,11.9,0.3,12.0
2025-02-06,21.1,11.4,0.0,16.8
2025-02-07,20.8,10.6,0.0,17.3
2025-02-08,23.3,11.1,0.0,12.6
2025-02-09,25.2,10.8,0.0,8.1
2025-02-10,27.2,11.7,0.0,7.1
2025-02-11,27.9,12.3,0.0,9.5
2025-02-12,25.3,13.6,0.0,16.2
2025-02-13,23.6,13.7,0.0,16.1
2025-02-14,24.6,12.3,0.0,14.1
2025-02-15,25.6,13.0,0.0,10.3
2025-02-16,26.6,13.5,0.0,8.4
2025-02-17,28.8,16.2,0.0,7.9
2025-02-18,26.4,16.8,0.0,9.6
2025-02-19,27.0,14.2,1.0,8.5
2025-02-20,23.7,15.1,7.1,16.6
2025-02-21,25.1,13.7,0.4,11.2
2025-02-22,23.9,13.5,0.0,11.9
2025-02-23,25.1,13.3,0.0,9.1
2025-02-24,26.9,13.3,0.0,10.3
2025-02-25,28.1,14.4,0.0,7.4
2025-02-26,30.1,17.9,0.0,8.9
2025-02-27,23.4,19.1,1.0,17.1
2025-02-28,23.4,18.2,3.3,12.9
2025-03-01,24.1,15.5,7.7,15.8
2025-03-02,24.6,15.4,0.0,13.2
2025-03-03,26.9,12.8,0.0,7.8
